VehicleTypeId,Description,Year,Month,Count,Amount
5,PUBLIC MOTOR CAR 1 TO 6 SEAT,2013,7,2,34190
6,PUBLIC MOTOR CAR 7 TO 15 SEAT,2013,7,4,23689
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2013,7,2,43390
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2013,7,54,398902
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2013,7,1,50900
12,TRAILER UPTO 2 TON,2013,7,1,974
21,TEMPO,2013,7,122,354884
1,MOPED/SCOOTER                                ,2013,8,3379,3304316
2,MOTOR CYCLE                                  ,2013,8,5055,5400471
3,AUTO RICKSHAW,2013,8,157,334903
4,PRIVATE MOTOR CAR/JEEP CAR,2013,8,1144,16793499
5,PUBLIC MOTOR CAR 1 TO 6 SEAT,2013,8,1,7888
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2013,8,3,18052
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2013,8,45,336115
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2013,8,7,325178
21,TEMPO,2013,8,150,433855
1,MOPED/SCOOTER                                ,2013,9,3346,3291707
2,MOTOR CYCLE                                  ,2013,9,5404,5746828
3,AUTO RICKSHAW,2013,9,119,265993
4,PRIVATE MOTOR CAR/JEEP CAR,2013,9,1236,19164060
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2013,9,2,37244
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2013,9,75,587673
11,LOADING TRUCK/TEMPO/TRACTOR MORE THAN 8 TON  ,2013,9,1,53687
21,TEMPO,2013,9,188,549369
1,MOPED/SCOOTER                                ,2013,10,3234,3170456
2,MOTOR CYCLE                                  ,2013,10,5002,5443034
3,AUTO RICKSHAW,2013,10,114,269711
4,PRIVATE MOTOR CAR/JEEP CAR,2013,10,1654,24010627
7,PUBLIC MOTOR CAR MORE THAN 16 SEAT,2013,10,3,92754
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2013,10,89,748549
21,TEMPO,2013,10,171,495085
1,MOPED/SCOOTER                                ,2013,11,4706,4652052
2,MOTOR CYCLE                                  ,2013,11,8839,9624893
3,AUTO RICKSHAW,2013,11,141,341371
4,PRIVATE MOTOR CAR/JEEP CAR,2013,11,1838,28670509
8,LOADING TRUCK/TEMPO/TRACTOR UPTO 2 TON       ,2013,11,89,703676
21,TEMPO,2013,11,221,651046
1,MOPED/SCOOTER                                ,2013,12,3530,3496330
